,song,artist,danceability,energy,speechiness,instrumentalness,tempo,valence,hit
4705,I Dont Really Care,Waka Flocka Flame Featuring Trey Songz,0.505,0.716,0.0383,0.0,144.979,0.562,0
4706,Levels,Avicii,0.584,0.889,0.0343,0.828,126.04,0.464,0
4707,She Doesn't Mind,Sean Paul,0.718,0.776,0.0693,5.3e-06,120.015,0.622,0
4708,Do It Like You,Diggy Featuring Jeremih,0.447,0.811,0.135,0.0,150.399,0.65,0
4709,Love's Gonna Make It Alright,George Strait,0.707,0.867,0.0339,0.00039,110.996,0.649,0
4710,Give Me All Your Luvin',Madonna Featuring Nicki Minaj & M.I.A.,0.68,0.885,0.0382,0.000704,144.998,0.879,1
4711,I Do,Young Jeezy Featuring Jay-Z & Andre 3000,0.599,0.815,0.337,0.0,72.437,0.623,0
4712,Mr. Wrong,Mary J. Blige Featuring Drake,0.694,0.674,0.164,1.22e-05,143.067,0.46,0
4713,Naked,Dev & Enrique Iglesias,0.774,0.563,0.031,1.77e-05,125.083,0.701,0
4714,Ours,Taylor Swift,0.608,0.569,0.0284,0.0,159.845,0.238,1
4715,The One That Got Away,Katy Perry,0.691,0.795,0.0355,1.02e-06,133.971,0.876,1
4716,Without You,David Guetta Featuring Usher,0.608,0.614,0.0285,3.82e-06,127.885,0.402,1
4717,Home,Dierks Bentley,0.558,0.861,0.0281,0.00479,139.991,0.807,1
4718,Come Away To The Water,Maroon 5 Featuring Rozzi Crane,0.402,0.493,0.0372,0.0218,84.893,0.289,0
4719,You Da One,Rihanna,0.702,0.715,0.0425,2.44e-05,127.05,0.863,1
4720,Lonely Boy,The Black Keys,0.356,0.872,0.068,0.00975,166.3,0.607,0
4721,Reality,Kenny Chesney,0.315,0.925,0.117,0.0642,185.305,0.415,0
4722,TTYLXOX,Bella Thorne,0.819,0.683,0.156,0.122,112.007,0.671,0
4723,Dance (A$$),Big Sean Featuring Nicki Minaj,0.787,0.73,0.35,0.00157,159.825,0.739,1
4724,Shake It Out,Florence + The Machine,0.527,0.804,0.0358,0.0,107.486,0.221,0
4725,Gotta Have It,Jay Z Kanye West,0.74,0.574,0.245,0.0,149.762,0.33,0
4726,Blackout,Breathe Carolina,0.662,0.819,0.124,0.0,122.951,0.801,1
4727,Don't Stop (Color On The Walls),Foster The People,0.611,0.948,0.0753,0.0995,133.004,0.79,0
4728,Love You Like A Love Song,Selena Gomez & The Scene,0.858,0.678,0.0469,0.0,117.009,0.922,1
4729,Work Out,J. Cole,0.831,0.427,0.106,0.0,93.004,0.216,1
4730,Lotus Flower Bomb,Wale Featuring Miguel,0.512,0.598,0.115,0.0,70.189,0.345,1
4731,Red Solo Cup,Toby Keith,0.535,0.56,0.0901,0.0,164.17,0.785,1
4732,The Trouble With Girls,Scotty McCreery,0.554,0.496,0.0281,0.0,132.078,0.351,0
4733,Cough Syrup,Young The Giant,0.534,0.721,0.0417,6.24e-06,128.978,0.225,0
4734,Live My Life,Far*East Movement Featuring Justin Bieber,0.683,0.804,0.0849,0.0,128.007,0.522,1
4735,I Don't Want This Night To End,Luke Bryan,0.616,0.728,0.0278,0.0,111.934,0.375,1
4736,You,Chris Young,0.708,0.708,0.0266,0.0,95.031,0.667,1
4737,Roman Reloaded,Nicki Minaj Featuring Lil Wayne,0.715,0.766,0.381,0.0,169.761,0.77,0
4738,When I'm Gone,Wiz Khalifa,0.701,0.76,0.0512,0.0,91.986,0.301,0
4739,Make It Nasty,Tyga,0.895,0.724,0.193,0.0,97.532,0.593,0
4740,Thank You,Estelle,0.561,0.717,0.0579,0.0,83.938,0.417,0
4741,I Will Always Love You,Whitney Houston,0.332,0.214,0.0349,5.62e-06,67.531,0.11,1
4742,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,0.646,0.795,0.0976,0.0,89.99,0.796,1
4743,Make Me Proud,Drake Featuring Nicki Minaj,0.684,0.486,0.132,0.000148,131.913,0.355,1
4744,Fly / I Believe I Can Fly,Glee Cast,0.526,0.849,0.0394,0.0,121.993,0.232,0
4745,Cough Syrup,Glee Cast,0.579,0.833,0.0276,2.24e-05,129.009,0.343,0
4746,What Doesn't Kill You (Stronger),Glee Cast,0.618,0.752,0.0302,0.000175,115.957,0.679,0
4747,Here's To Us,Glee Cast,0.418,0.867,0.0393,0.0,80.123,0.433,0
4748,Mutha***** Up,Tyga Featuring Nicki Minaj,0.775,0.552,0.2,1.38e-06,92.032,0.462,0
4749,Glad You Came,Glee Cast,0.597,0.765,0.223,0.0,126.857,0.391,0
4750,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,0.709,0.824,0.0453,0.000307,118.818,0.867,1
4751,Greatest Love Of All,Whitney Houston,0.502,0.305,0.0339,3.55e-06,131.242,0.248,1
4752,I Like It Like That,Hot Chelle Rae Featuring New Boyz,0.742,0.784,0.0552,0.0,101.002,0.65,1
4753,Just A Kiss,Lady Antebellum,0.593,0.639,0.0307,0.0,142.881,0.332,1
4754,How Will I Know,Whitney Houston,0.761,0.739,0.0369,3.35e-06,118.997,0.656,1
4755,Runaway Baby,Bruno Mars,0.658,0.762,0.0425,0.0,163.864,0.823,0
4756,Heartbeat,The Fray,0.458,0.821,0.0334,9.46e-05,144.46,0.323,1
4757,I'm Gonna Love You Through It,Martina McBride,0.431,0.657,0.0304,0.0,142.527,0.259,0
4758,Ima Boss,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",0.37,0.87,0.271,0.0,79.092,0.331,0
4759,Stupid Hoe,Nicki Minaj,0.879,0.83,0.275,0.131,100.014,0.719,0
4760,I Will Always Love You,Glee Cast,0.302,0.441,0.0312,6.25e-06,136.631,0.16,0
4761,Stereo Hearts,Glee Cast,0.62,0.698,0.0449,0.0,90.059,0.617,0
4762,No Church In The Wild,Jay Z Kanye West Featuring Frank Ocean,0.654,0.75,0.105,0.0178,92.78,0.557,0
4763,Raise Your Weapon,deadmau5 Featuring Greta Svabo Bech,0.507,0.699,0.0814,0.00172,139.909,0.0744,0
4764,All Your Life,The Band Perry,0.536,0.521,0.0261,0.0,131.937,0.455,1
4765,Mr. Know It All,Kelly Clarkson,0.676,0.807,0.029,0.0,95.956,0.443,1
4766,Keep Me In Mind,Zac Brown Band,0.684,0.715,0.0336,0.0,96.018,0.564,1
4767,Say Aah,Lindsey Pavao,0.605,0.792,0.0381,0.0,163.867,0.463,0
4768,Sexy And I Know It,Glee Cast Featuring Ricky Martin,0.711,0.827,0.194,0.0,130.02,0.564,0
4769,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,0.655,0.261,0.0559,0.91,168.025,0.217,1
4770,Strange Clouds,B.o.B Featuring Lil Wayne,0.531,0.665,0.286,0.0,73.726,0.8,1
4771,You The Boss,Rick Ross Featuring Nicki Minaj,0.715,0.68,0.14,0.0,140.991,0.473,0
4772,Smooth Criminal,Glee Cast Featuring 2Cellos,0.756,0.814,0.0436,0.00068,135.045,0.905,1
4773,Round Of Applause,Waka Flocka Flame Featuring Drake,0.712,0.758,0.26,0.0,140.02,0.903,0
4774,La Isla Bonita,Glee Cast Featuring Ricky Martin,0.694,0.724,0.0529,1.26e-05,113.02,0.335,0
4775,Snitches Ain't...,"YG Featuring Tyga, Snoop Dogg & Nipsey Hussle",0.657,0.626,0.543,0.00299,92.015,0.762,0
4776,Brighter Than The Sun,Colbie Caillat,0.629,0.793,0.0346,1.15e-06,95.981,0.588,1
4777,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",0.673,0.932,0.164,1.93e-06,129.029,0.536,1
4778,Drink In My Hand,Eric Church,0.626,0.913,0.0318,0.0,113.044,0.946,1
4779,Human Nature,Glee Cast,0.436,0.402,0.108,0.0,92.758,0.385,0
4780,Black Or White,Glee Cast,0.723,0.955,0.0558,9.32e-05,115.048,0.666,0
4781,Wanna Be Startin' Somethin',Glee Cast,0.763,0.932,0.142,0.000403,123.497,0.727,0
4782,Bad,Glee Cast,0.728,0.835,0.0394,0.0,114.094,0.813,0
4783,T.H.E (The Hardest Ever),will.i.am Featuring Mick Jagger & Jennifer Lopez,0.586,0.712,0.0969,6.21e-06,106.024,0.45,1
4784,Tattoos On This Town,Jason Aldean,0.359,0.784,0.0438,2.72e-05,78.494,0.444,1
4785,Bait A Hook,Justin Moore,0.668,0.781,0.0267,0.0,105.945,0.695,0
4786,Storm Warning,Hunter Hayes,0.483,0.843,0.0835,0.0,185.998,0.772,0
4787,Party,Beyonce Featuring Andre 3000,0.648,0.593,0.0509,0.0,160.984,0.719,0
4788,Headlines,Drake,0.636,0.566,0.106,0.000353,151.894,0.425,1
4789,You Make Me Feel...,Cobra Starship Featuring Sabi,0.668,0.857,0.0535,6.71e-06,131.959,0.748,1
4790,Pumped Up Kicks,Foster The People,0.733,0.71,0.0292,0.115,127.975,0.965,1
4791,Let It Rain,David Nail Featuring Sarah Buxton,0.56,0.619,0.0405,1.03e-06,77.881,0.561,0
4792,Countdown,Beyonce,0.665,0.787,0.151,0.0,167.351,0.699,0
4793,Marry The Night,Lady Gaga,0.614,0.879,0.056,0.00438,131.092,0.407,1
4794,Kyoto,Skrillex Featuring Sirah,0.605,0.92,0.0713,0.000596,174.974,0.219,0
4795,Camouflage,Brad Paisley,0.56,0.965,0.0472,0.000984,113.633,0.771,0
4796,Without You,Glee Cast,0.467,0.749,0.0525,7.44e-06,127.887,0.0975,1
4797,Super Bass,Nicki Minaj,0.723,0.86,0.203,4.56e-06,126.979,0.667,1
4798,We Found Love,Glee Cast,0.732,0.799,0.0646,0.00134,127.991,0.67,0
4799,Moves Like Jagger / Jumpin' Jack Flash,Glee Cast,0.726,0.89,0.0455,0.0,127.996,0.878,0
4800,The First Time Ever I Saw Your Face,Glee Cast,0.382,0.304,0.033,0.0832,123.743,0.0986,0
4801,Amen,Edens Edge,0.509,0.688,0.0313,0.0,179.047,0.434,0
4802,Summer Nights,Glee Cast,0.774,0.655,0.0519,0.0,124.176,0.583,0
4803,Tattoo,Van Halen,0.497,0.886,0.0435,9.26e-05,100.109,0.512,0
4804,Called Out In The Dark,Snow Patrol,0.726,0.712,0.0313,1.07e-05,120.003,0.961,0
4805,Video Games,Lana Del Rey,0.236,0.249,0.0348,1e-06,72.847,0.181,0
4806,The Champ,Nelly,0.548,0.883,0.0766,0.0,167.998,0.796,0
4807,Party On Fifth Ave.,Mac Miller,0.617,0.823,0.328,0.0,97.67,0.663,0
4808,Wish You Were Here,Avril Lavigne,0.454,0.865,0.0561,0.0,166.018,0.34,0
4809,When We Stand Together,Nickelback,0.446,0.9,0.0489,1.89e-05,187.961,0.88,1
4810,Wild Boy,MGK Featuring Waka Flocka Flame,0.801,0.682,0.0498,0.0,140.061,0.484,0
4811,Crawling Back To You,Daughtry,0.426,0.908,0.0504,0.0,150.979,0.16,1
4812,It Girl,Jason Derulo,0.668,0.718,0.0605,0.0,91.993,0.345,1
4813,She Will,Lil Wayne Featuring Drake,0.368,0.831,0.488,0.0,68.317,0.803,1
4814,Fly,Nicki Minaj Featuring Rihanna,0.665,0.848,0.0386,0.000118,119.897,0.196,1
4815,Set You Free,3OH!3,0.612,0.807,0.106,0.0,79.999,0.617,0
4816,That Way,Wale Featuring Jeremih & Rick Ross,0.683,0.691,0.23,0.0,73.469,0.295,1
4817,Play The Guitar,B.o.B Featuring Andre 3000,0.632,0.946,0.0625,0.905,131.996,0.911,0
4818,God Gave Me You,Blake Shelton,0.483,0.844,0.0314,7.29e-05,151.977,0.543,1
4819,Easy,Rascal Flatts Featuring Natasha Bedingfield,0.343,0.594,0.0344,0.0,120.998,0.425,1
4820,Mistletoe,Justin Bieber,0.657,0.56,0.0467,0.0,161.993,0.854,1
4821,We Owned The Night,Lady Antebellum,0.657,0.714,0.0273,0.000145,99.991,0.488,1
4822,Blunt Blowin,Lil Wayne,0.721,0.738,0.0649,0.0,135.987,0.375,1
4823,Donald Trump,Mac Miller,0.716,0.936,0.123,0.0,81.508,0.799,0
4824,Wobble,V.I.C.,0.855,0.746,0.232,0.0,95.026,0.375,0
4825,First Of The Year (Equinox),Skrillex,0.429,0.948,0.227,0.0148,115.785,0.55,0
4826,Good Good Night,Roscoe Dash,0.645,0.958,0.286,0.0,160.084,0.834,0
4827,Better Than I Know Myself,Adam Lambert,0.484,0.812,0.138,0.0,109.452,0.308,0
4828,Drummer Boy,Justin Bieber Featuring Busta Rhymes,0.752,0.85,0.0819,0.000131,122.991,0.491,0
4829,Nothing,The Script,0.473,0.833,0.039,0.0,157.012,0.503,1
4830,Knock Knock,Mac Miller,0.682,0.934,0.129,0.0,109.032,0.487,0
4831,Baggage Claim,Miranda Lambert,0.701,0.934,0.0403,1.53e-06,81.0,0.964,1
4832,We Are Young,Glee Cast,0.378,0.554,0.0497,0.0,91.977,0.523,1
4833,Sleazy Remix 2.0 Get Sleazier,"Ke$ha Featuring Lil Wayne, Wiz Khalifa, T.I. & Andre 3000",0.698,0.791,0.233,1.19e-05,170.034,0.912,1
4834,In The Dark,Dev,0.736,0.823,0.0675,0.000914,124.954,0.442,1
4835,You And I,Lady Gaga,0.518,0.709,0.0476,0.0,127.083,0.514,1
4836,Do They Know It's Christmas?,Glee Cast,0.497,0.731,0.0327,6.96e-06,115.988,0.558,0
4837,I Got You,Thompson Square,0.533,0.799,0.0531,0.000879,127.04,0.521,0
4838,Promise,Romeo Santos Featuring Usher,0.764,0.739,0.0574,0.0,132.995,0.77,0
4839,All I Want For Christmas Is You,Michael Buble,0.502,0.465,0.0274,0.0,141.772,0.143,0
4840,Survivor / I Will Survive,Glee Cast,0.563,0.913,0.225,0.0,128.083,0.311,0
4841,Man In The Mirror,Glee Cast,0.755,0.717,0.038,0.0,100.325,0.41,0
4842,Roman In Moscow,Nicki Minaj,0.632,0.923,0.0879,0.0,120.016,0.134,0
4843,Sparks Fly,Taylor Swift,0.605,0.787,0.0308,1.42e-06,114.987,0.374,1
4844,ABC,Glee Cast,0.753,0.948,0.0781,0.0,99.009,0.772,0
4845,Red Solo Cup,Glee Cast,0.484,0.601,0.122,0.0,165.551,0.631,0
4846,I'll Be Home For Christmas,Kelly Clarkson,0.364,0.182,0.0313,0.000179,81.784,0.266,0
4847,Body 2 Body,Ace Hood Featuring Chris Brown,0.603,0.82,0.0566,0.0,152.057,0.561,0
4848,Perfect,Glee Cast,0.605,0.634,0.0401,0.0,91.979,0.446,0
4849,Girls Just Want To Have Fun,Glee Cast,0.46,0.12,0.0335,5.98e-05,129.481,0.384,0
4850,I Kissed A Girl,Glee Cast,0.687,0.756,0.0596,0.0,130.043,0.623,0
4851,Marvin & Chardonnay,Big Sean Featuring Kanye West & Roscoe Dash,0.613,0.807,0.0382,0.0,133.023,0.813,1
4852,Rumour Has It / Someone Like You,Glee Cast,0.64,0.896,0.079,0.0,123.071,0.751,1
4853,I'm The Only One,Glee Cast,0.669,0.732,0.0541,0.0,127.566,0.611,0
4854,Constant Craving,Glee Cast,0.544,0.803,0.0313,0.0,129.009,0.255,0
4855,I Like How It Feels,Enrique Iglesias Featuring Pitbull & The WAV.s,0.59,0.875,0.104,0.0,127.997,0.663,0
4856,Otis,Jay Z Kanye West Featuring Otis Redding,0.754,0.631,0.307,0.0,94.577,0.432,1
4857,Marvins Room,Drake,0.492,0.26,0.0921,0.00178,111.519,0.312,1
4858,Good Life,OneRepublic,0.634,0.69,0.052,0.0,94.988,0.645,1
4859,If I Die Young,The Band Perry,0.606,0.497,0.0277,0.0,130.739,0.362,1
4860,Mr. Saxobeat,Alexandra Stan,0.72,0.925,0.0511,0.000238,127.004,0.781,1
4861,One More Drinkin' Song,Jerrod Niemann,0.734,0.698,0.0331,8.83e-05,114.03,0.611,0
4862,Cheers (Drink To That),Rihanna,0.576,0.912,0.0403,0.0,79.981,0.727,1
4863,Lullaby,Nickelback,0.508,0.832,0.032,0.0,136.004,0.404,0
4864,Rain Over Me,Pitbull Featuring Marc Anthony,0.61,0.906,0.0648,0.0,127.916,0.294,1
4865,I Got Nothin',Darius Rucker,0.554,0.621,0.0325,0.0,147.798,0.257,0
4866,El Verdadero Amor Perdona,Mana Featuring Prince Royce,0.782,0.762,0.0274,1.01e-05,113.473,0.719,0
4867,Crazy Girl,Eli Young Band,0.366,0.651,0.031,0.00526,151.343,0.257,1
4868,Country Must Be Country Wide,Brantley Gilbert,0.409,0.765,0.0412,6.16e-06,83.093,0.5,0
4869,If This Was A Movie,Taylor Swift,0.511,0.719,0.0265,4.54e-06,147.852,0.289,1
4870,Hate Sleeping Alone,Drake,0.812,0.38,0.0362,0.0,115.975,0.899,0
4871,You And  I / You And I,Glee Cast,0.319,0.837,0.0918,0.0,133.979,0.328,0
4872,I Can't Go For That / You Make My Dreams,Glee Cast,0.637,0.836,0.079,0.0,184.041,0.898,0
4873,Criminal,Britney Spears,0.696,0.734,0.0298,0.0,107.987,0.711,0
4874,Hit Me With Your Best Shot / One Way Or Another,Glee Cast,0.625,0.936,0.0929,0.0,144.01,0.804,0
4875,We'll Be Fine,Drake Featuring Birdman,0.386,0.488,0.422,0.0,193.397,0.217,0
4876,Footloose,Blake Shelton,0.52,0.924,0.0686,2.31e-06,173.98,0.844,0
4877,Shot For Me,Drake,0.566,0.465,0.235,0.0,143.015,0.177,0
4878,Superman,Taylor Swift,0.582,0.765,0.0324,1.95e-06,131.982,0.559,1
4879,Lighters,Bad Meets Evil Featuring Bruno Mars,0.676,0.695,0.245,0.0,90.268,0.144,1
4880,Run,Matt Nathanson Featuring Sugarland,0.62,0.652,0.0312,5.77e-06,109.988,0.204,0
4881,Smile Back,Mac Miller,0.53,0.834,0.156,0.0,151.349,0.235,0
4882,Uptown Girl,Glee Cast,0.618,0.643,0.0297,0.0,128.992,0.722,0
4883,Come Home,Faith Hill,0.419,0.8,0.0398,0.0,148.133,0.265,0
4884,Cost Of Livin',Ronnie Dunn,0.662,0.29,0.0349,0.0,148.393,0.283,0
4885,Wet The Bed,Chris Brown Feat. Ludacris,0.58,0.66,0.0429,0.0,123.801,0.411,0
4886,Here For A Good Time,George Strait,0.596,0.768,0.0369,6.23e-06,127.93,0.532,1
4887,The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers,0.683,0.734,0.029,0.0139,106.254,0.576,1
4888,Haunted,Taylor Swift,0.436,0.95,0.057,1.08e-06,162.088,0.352,0
4889,Long Hot Summer,Keith Urban,0.657,0.785,0.037,4.62e-06,127.987,0.769,1
4890,How To Love,Lil Wayne,0.644,0.661,0.0418,5.23e-06,153.992,0.272,1
4891,Last Friday Night (T.G.I.F.),Katy Perry,0.652,0.812,0.0409,3.01e-05,126.023,0.72,1
4892,Tonight Tonight,Hot Chelle Rae,0.686,0.783,0.119,0.0,99.978,0.814,1
4893,Take A Back Road,Rodney Atkins,0.581,0.856,0.0783,0.0,169.902,0.918,1
4894,Last Friday Night,Glee Cast,0.657,0.852,0.0369,0.0,126.003,0.792,0
4895,Better With The Lights Off,New Boyz Feat. Chris Brown,0.573,0.848,0.057,0.0,112.084,0.561,1
4896,Ambition,Wale Featuring Meek Mill & Rick Ross,0.42,0.744,0.396,8.54e-06,161.792,0.324,0
4897,Mrs. Right,Mindless Behavior Featuring Diggy,0.439,0.753,0.0932,0.0,95.339,0.538,0
4898,All I Want For Christmas Is You (SuperFestive!),Justin Bieber Duet With Mariah Carey,0.575,0.911,0.0639,0.0,150.001,0.407,0
4899,Sweat,Bow Wow Featuring Lil Wayne,0.662,0.6,0.0486,0.0,154.098,0.0816,1
4900,Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber Featuring Usher,0.533,0.436,0.0289,0.0,103.477,0.169,0
4901,Take Over Control,Afrojack Featuring Eva Simons,0.735,0.699,0.084,2.82e-05,129.944,0.603,1
4902,Lessons In Love,Kaskade Featuring Neon Trees,0.576,0.823,0.0544,3.69e-05,127.971,0.594,0
4903,Dedication To My Ex (Miss That),Lloyd Featuring Andre 3000 & Lil Wayne,0.835,0.724,0.057,5.48e-06,119.037,0.964,0
4904,I Wanna Go,Britney Spears,0.696,0.546,0.0414,3.8e-06,130.002,0.787,1
4905,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",0.413,0.807,0.318,0.0,149.33,0.438,1
4906,The Edge Of Glory,Lady Gaga,0.581,0.772,0.0401,0.0191,127.952,0.361,1
4907,Made In America,Toby Keith,0.497,0.701,0.0306,0.0,172.126,0.376,1
4908,Remind Me,Brad Paisley Duet With Carrie Underwood,0.484,0.78,0.0312,1.27e-06,140.758,0.311,1
4909,Got 2 Luv U,Sean Paul Featuring Alexis Jordan,0.605,0.793,0.297,0.0,184.032,0.647,0
4910,Skyscraper,Demi Lovato,0.573,0.581,0.0276,0.0,103.82,0.188,1
4911,Focused,Wale Featuring Kid Cudi,0.735,0.801,0.0554,0.0,123.094,0.497,0
4912,Quickie,Miguel,0.372,0.641,0.149,0.0,67.82,0.647,0
4913,Keep Your Head Up,Andy Grammer,0.674,0.778,0.0376,0.0,90.01,0.816,0
4914,Best Thing I Never Had,Beyonce,0.546,0.649,0.0324,1.55e-05,99.05,0.298,1
4915,Just Fishin',Trace Adkins,0.586,0.674,0.0246,0.0777,86.5,0.395,0
4916,Calling All The Monsters,China Anne McClain,0.561,0.826,0.0972,0.0,141.98,0.499,0
4917,Still Got It,Tyga Featuring Drake,0.447,0.834,0.373,2.46e-06,94.63,0.296,0
4918,Papi,Jennifer Lopez,0.705,0.805,0.0595,0.000139,120.022,0.887,0
4919,Lost In Paradise,Evanescence,0.266,0.571,0.0376,3.96e-06,113.059,0.104,0
4920,Faster,Matt Nathanson,0.742,0.853,0.0393,4.79e-06,107.03,0.95,0
4921,Barefoot Blue Jean Night,Jake Owen,0.599,0.807,0.0402,0.0,172.017,0.812,1
4922,Dirt Road Anthem,Jason Aldean,0.68,0.741,0.0357,1.87e-06,127.024,0.635,1
4923,Fix You,Glee Cast,0.439,0.412,0.0312,3.81e-05,133.964,0.274,0
4924,Hangover,Taio Cruz Featuring Flo Rida,0.606,0.883,0.0423,0.0,128.053,0.608,0
4925,I'm Flexin',T.I. Featuring Big K.R.I.T.,0.951,0.632,0.228,0.0,114.028,0.45,0
4926,You And Tequila,Kenny Chesney Featuring Grace Potter,0.691,0.454,0.0256,0.00227,135.839,0.35,1
4927,Run The World (Girls),Glee Cast,0.635,0.891,0.0922,0.0,126.991,0.508,0
4928,Pretty Girls,Iyaz Featuring Travie McCoy,0.647,0.749,0.0478,0.0,76.84,0.659,1
4929,Love Don't Run,Steve Holy,0.512,0.532,0.0301,0.0,147.473,0.256,0
4930,No Sleep,Wiz Khalifa,0.653,0.711,0.0623,0.0,160.048,0.769,1
4931,Motivation,Kelly Rowland Featuring Lil Wayne,0.744,0.672,0.0418,0.000123,140.889,0.266,1
4932,Somewhere,Glee Cast,0.494,0.556,0.0257,0.0,85.986,0.325,0
4933,Fight For You,Jason Derulo,0.416,0.84,0.0787,0.0,177.942,0.523,0
4934,After Midnight,Blink-182,0.541,0.889,0.049,1.71e-05,167.995,0.902,0
4935,Every Teardrop Is A Waterfall,Coldplay,0.631,0.871,0.0585,0.00775,125.022,0.293,1
4936,Fish,Craig Campbell,0.628,0.667,0.0385,0.0,160.01,0.584,0
4937,Gucci Gucci,Kreayshawn,0.712,0.924,0.0683,1.77e-05,77.508,0.901,0
4938,Walk,Foo Fighters,0.234,0.865,0.0516,0.000532,137.107,0.194,0
4939,Far Away,Tyga Featuring Chris Richardson,0.643,0.712,0.0476,0.0,92.037,0.534,0
4940,Knee Deep,Zac Brown Band Featuring Jimmy Buffett,0.715,0.584,0.0296,1.41e-06,90.99,0.609,1
4941,It's Not Unusual,Glee Cast,0.409,0.975,0.136,0.0,183.984,0.636,0
4942,You Can't Stop The Beat,Glee Cast,0.472,0.951,0.176,0.0,169.998,0.647,0
4943,Y.U. Mad,Birdman Featuring Nicki Minaj & Lil Wayne,0.615,0.804,0.471,6.39e-06,152.995,0.443,0
4944,Fix A Heart,Demi Lovato,0.491,0.452,0.0491,0.0,160.227,0.455,0
4945,We Got The Beat,Glee Cast,0.632,0.968,0.113,0.00161,151.909,0.655,0
4946,Love Done Gone,Billy Currington,0.67,0.72,0.0291,0.0,127.001,0.805,0
4947,Unbroken,Demi Lovato,0.559,0.722,0.0527,0.0,124.923,0.383,0
4948,Beautiful People,Chris Brown Featuring Benny Benassi,0.417,0.806,0.16,0.00637,127.887,0.545,1
4949,Just Can't Get Enough,The Black Eyed Peas,0.659,0.628,0.179,0.0,94.05,0.262,1
4950,Police Dog Blues,Hugh Laurie,0.682,0.366,0.0353,0.000119,125.08,0.59,0
4951,Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj,0.664,0.872,0.0396,0.0,129.873,0.555,1
4952,Out Of My Head,Lupe Fiasco Featuring Trey Songz,0.588,0.847,0.0675,0.0,99.058,0.38,1
4953,Am I The Only One,Dierks Bentley,0.579,0.878,0.145,0.0,165.972,0.88,1
4954,Body And Soul,Tony Bennett & Amy Winehouse,0.342,0.249,0.0277,5.09e-05,94.746,0.203,0
4955,On The Floor,Jennifer Lopez Featuring Pitbull,0.778,0.468,0.0794,4.05e-05,129.974,0.539,1
4956,Disaster,JoJo,0.469,0.899,0.0968,8.2e-06,79.553,0.527,0
4957,I Love You This Big,Scotty McCreery,0.521,0.647,0.0295,8.21e-05,83.963,0.326,1
4958,Hell On Heels,Pistol Annies,0.655,0.547,0.0406,3.78e-05,132.226,0.383,0
4959,E.T.,Katy Perry Featuring Kanye West,0.62,0.869,0.175,0.0,151.684,0.76,1
4960,MegaMan,Lil Wayne,0.503,0.856,0.286,0.0,102.28,0.339,0
4961,Country Girl (Shake It For Me),Luke Bryan,0.645,0.904,0.0462,0.0,105.97,0.671,1
4962,My Body,Young The Giant,0.488,0.909,0.0929,1.02e-05,129.774,0.643,0
4963,It's Good,Lil Wayne Featuring Drake & Jadakiss,0.665,0.714,0.158,0.0,85.368,0.0999,0
4964,How To Hate,Lil Wayne Featuring T-Pain,0.4,0.754,0.0885,0.0,146.475,0.248,0
4965,Nightmares Of The Bottom,Lil Wayne,0.81,0.577,0.148,3.58e-06,140.065,0.408,0
4966,President Carter,Lil Wayne,0.671,0.618,0.191,0.00815,79.799,0.468,0
4967,So Special,Lil Wayne Featuring John Legend,0.447,0.871,0.123,0.0,144.379,0.195,0
4968,"Save Me, San Francisco",Train,0.639,0.938,0.0433,0.0,112.012,0.886,0
4969,She Ain't You,Chris Brown,0.634,0.716,0.128,0.0,91.039,0.619,1
4970,The Lazy Song,Bruno Mars,0.794,0.711,0.0699,0.0,174.915,0.955,1
4971,Frick Park Market             ,Mac Miller,0.592,0.808,0.0598,0.0,156.125,0.227,0
4972,I'm Into You,Jennifer Lopez Featuring Lil Wayne,0.592,0.747,0.138,0.0,83.929,0.698,1
4973,Night Of Your Life,David Guetta Featuring Jennifer Hudson,0.739,0.704,0.0415,0.0,128.024,0.348,0
4974,Don't Wanna Go Home,Jason Derulo,0.671,0.808,0.0652,0.0,121.956,0.637,1
4975,Never Gonna Leave This Bed,Maroon 5,0.609,0.81,0.0296,0.0,117.364,0.47,0
4976,What The Water Gave Me,Florence + The Machine,0.491,0.566,0.0319,0.000226,124.091,0.184,0
4977,Booty Wurk (One Cheek At A Time),T-Pain Featuring Joey Galaxy,0.786,0.689,0.315,1.14e-06,157.936,0.874,1
4978,Man Down,Rihanna,0.479,0.906,0.188,0.0,155.887,0.536,0
4979,Arms,Christina Perri,0.463,0.755,0.0634,4.89e-06,145.319,0.252,0
4980,Till I'm Gone,Tinie Tempah Featuring Wiz Khalifa,0.723,0.891,0.131,0.0,163.995,0.884,0
4981,Martians Vs Goblins,"Game Featuring Lil Wayne & Tyler, The Creator",0.476,0.81,0.265,0.0,83.308,0.642,0
