,song,artist,danceability,energy,speechiness,instrumentalness,tempo,valence,hit
63,Sand In My Boots,Morgan Wallen,0.403,0.537,0.031,0.0,69.877,0.414,1
64,'Til You Can't,Cody Johnson,0.501,0.815,0.0436,0.0,160.087,0.46,0
65,Love Again,Dua Lipa,0.659,0.667,0.0339,2.85e-05,115.982,0.468,1
66,Whiskey And Rain,Michael Ray,0.653,0.623,0.0244,3.32e-06,100.021,0.718,0
67,One Mississippi,Kane Brown,0.471,0.846,0.0389,2.86e-06,100.089,0.539,0
68,Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,0.772,0.563,0.452,0.0,160.064,0.521,0
69,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,0.39,0.499,0.0381,0.000497,200.156,0.34,0
70,Too Easy,Gunna & Future,0.784,0.601,0.118,0.0,156.0,0.22,1
71,Esta Danada,Ivan Cornejo,0.405,0.565,0.0372,0.0195,159.892,0.166,0
72,Volvi,Aventura x Bad Bunny,0.725,0.86,0.182,0.000284,175.896,0.791,1
73,Tequila Little Time,Jon Pardi,0.757,0.705,0.0252,5.8e-06,104.972,0.855,0
74,Whole Lotta Money,BIA Featuring Nicki Minaj,0.893,0.463,0.36,0.0,81.026,0.591,1
75,2055,Sleepy Hallow,0.829,0.512,0.187,0.0,80.511,0.638,0
76,Maybach,42 Dugg Featuring Future,0.735,0.446,0.109,1.93e-05,150.915,0.121,0
77,WFM,Realestk,0.437,0.184,0.0313,0.00253,80.088,0.247,0
78,Poke It Out,Wale Featuring J. Cole,0.778,0.934,0.321,0.0,98.97,0.803,0
79,Praise God,Kanye West,0.798,0.545,0.168,9.48e-05,118.029,0.212,1
80,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",0.639,0.703,0.0794,1.78e-06,169.888,0.138,0
81,Freedom Was A Highway,Jimmie Allen & Brad Paisley,0.651,0.379,0.0288,0.142,95.996,0.653,0
82,For Tonight,Giveon,0.442,0.517,0.0548,0.0,79.867,0.2,0
83,Thot Shit,Megan Thee Stallion,0.95,0.693,0.0898,0.0,130.02,0.891,1
84,Like A Lady,Lady A,0.637,0.932,0.0354,3.23e-06,95.511,0.771,0
85,Get Into It (Yuh),Doja Cat,0.912,0.655,0.162,3.39e-05,91.942,0.793,0
86,Scorpio,Moneybagg Yo,0.736,0.532,0.265,8.86e-06,84.983,0.273,0
87,Big Energy,Latto,0.935,0.807,0.114,0.0,106.017,0.813,0
88,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,0.57,0.618,0.0445,0.0,138.034,0.286,0
89,Money,Lisa,0.831,0.554,0.218,6.12e-05,140.026,0.396,0
90,No Friends In The Industry,Drake,0.84,0.744,0.113,0.0,83.737,0.171,1
91,"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,0.436,0.4,0.11,0.0,75.576,0.568,0
92,Who's In Your Head,Jonas Brothers,0.704,0.778,0.0971,0.0,101.025,0.821,0
93,In The Bible,Drake Featuring Lil Durk & Giveon,0.671,0.715,0.0532,0.0,162.884,0.685,1
94,Just About Over You,Priscilla Block,0.53,0.524,0.0327,0.0,150.05,0.514,0
95,To Be Loved By You,Parker McCollum,0.475,0.805,0.0377,0.0,145.976,0.488,0
96,Ain't Shit,Doja Cat,0.855,0.488,0.208,0.0,124.097,0.619,1
97,Life Goes On,Oliver Tree,0.7,0.49,0.076,0.0,79.982,0.569,0
98,Come Through,H.E.R. Featuring Chris Brown,0.612,0.423,0.0508,0.0,135.841,0.18,0
99,Nevada,YoungBoy Never Broke Again,0.777,0.59,0.286,0.0,147.978,0.238,0
100,Leave Before You Love Me,Marshmello X Jonas Brothers,0.872,0.386,0.0702,0.552,119.993,0.962,1
101,Deja Vu,Olivia Rodrigo,0.442,0.612,0.112,5.7e-06,180.917,0.178,1
102,Ex For A Reason,Summer Walker & JT,0.425,0.799,0.0309,0.885,115.645,0.168,0
103,Late At Night,Roddy Ricch,0.621,0.405,0.437,0.0,98.427,0.141,1
104,Livin It Up,Young Thug With Post Malone & A$AP Rocky,0.767,0.313,0.0798,0.0,82.582,0.765,0
105,Stressed,Young Thug With J. Cole & T-Shyne,0.707,0.442,0.339,0.0,81.021,0.344,0
106,Rich N***a Shit,Young Thug With Juice WRLD,0.849,0.479,0.239,0.0,147.215,0.395,0
107,Yonaguni,Bad Bunny,0.644,0.648,0.118,0.0,179.951,0.44,1
108,Champagne Poetry,Drake,0.423,0.667,0.326,0.0,86.743,0.496,1
109,Let Somebody Go,Coldplay X Selena Gomez,0.592,0.342,0.0339,0.00245,130.953,0.155,0
110,You Time,Scotty McCreery,0.55,0.767,0.0248,3.07e-06,104.016,0.601,0
111,Peepin Out The Window,Young Thug With Future & BSlime,0.509,0.51,0.425,0.0,82.407,0.22,0
112,Woo Baby,Pop Smoke Featuring Chris Brown,0.563,0.672,0.0765,0.0,99.772,0.284,0
113,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,0.64,0.69,0.235,0.0,89.906,0.59,1
114,Todo de Ti,Rauw Alejandro,0.78,0.718,0.0506,0.000163,127.949,0.342,1
115,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,0.627,0.678,0.0294,0.0,100.032,0.724,1
116,Your Heart,Joyner Lucas & J. Cole,0.706,0.271,0.0555,0.661,175.023,0.227,1
117,Summer Of Love,Shawn Mendes & Tainy,0.776,0.808,0.117,0.000127,123.988,0.494,1
118,Waves,Luke Bryan,0.494,0.771,0.0626,0.0,136.053,0.371,1
119,Life Support,YoungBoy Never Broke Again,0.715,0.625,0.152,0.0,147.97,0.588,1
